Innings,Root,Roy,Bairstow,Buttler,Morgan,Stokes
1,36,0,41,0,2,3
2,39,39,3,14,6,20
3,57,9,35,21,14,7
4,31,38,9,3,43,5
5,56,12,2,14,13,25
6,79,67,29,2,58,27
7,28,31,83,47,23,21
8,30,63,17,1,2,0
9,28,36,31,0,62,15
10,33,4,10,14,67,70
11,12,0,3,0,9,0
12,68,54,29,75,9,5
13,38,7,22,65,27,4
14,48,102,61,42,0,0
15,7,48,33,34,28,23
16,3,14,0,49,33,2
17,12,20,35,4,110,33
18,0,6,15,71,36,16
19,21,8,56,5,24,6
20,3,3,10,12,103,10
21,2,112,72,0,52,28
22,55,5,51,99,27,68
23,37,162,43,9,47,19
24,23,34,100,26,9,17
25,107,65,9,4,23,13
26,17,13,13,121,1,10
27,45,52,39,21,1,14
28,0,17,141,2,13,41
29,43,0,14,42,16,42
30,10,20,60,11,61,57
31,4,1,39,49,28,0
32,2,8,0,21,107,53
33,44,4,44,7,8,2
34,113,1,4,55,21,29
35,2,13,37,15,30,15
36,42,4,19,2,24,42
37,48,84,138,22,2,69
38,36,96,104,23,21,75
39,104,180,105,28,63,101
40,55,2,28,25,7,0
41,80,19,42,67,50,47
42,5,0,139,17,45,62
43,69,49,79,10,52,1
44,3,49,12,3,4,57
45,25,8,38,24,57,55
46,46,15,38,39,59,1
47,1,42,30,65,2,34
48,121,34,25,129,25,25
49,29,0,26,41,24,101
50,104,120,4,13,15,48
51,6,82,34,4,21,102
52,54,101,0,0,89,34
53,106,1,56,1,43,23
54,4,38,11,11,9,73
55,0,40,51,49,27,12
56,63,24,128,116,73,63
57,11,0,32,105,36,39
58,71,41,0,48,0,1
59,52,45,32,0,41,26
60,38,4,0,1,0,50
61,125,123,32,0,10,5
62,109,2,51,93,3,15
63,27,87,45,17,40,35
64,2,76,90,70,1,67
65,11,114,0,4,39,20
66,65,54,27,90,6,79
67,93,8,111,63,21,11
68,61,153,,57,49,15
69,89,,,25,8,37
70,85,,,31,13,71
71,30,,,10,15,21
72,9,,,11,15,89
73,78,,,14,33,13
74,54,,,0,124,6
75,4,,,7,54,10
76,90,,,7,5,82
77,101,,,65,53,89
78,49,,,4,30,79
79,73,,,61,30,
80,37,,,29,106,
81,39,,,4,54,
82,2,,,2,33,
83,133,,,43,39,
84,64,,,4,1,
85,15,,,42,31,
86,46,,,100,3,
87,54,,,0,40,
88,84,,,21,12,
89,14,,,79,17,
90,46,,,36,28,
91,27,,,29,10,
92,0,,,0,32,
93,62,,,9,14,
94,71,,,91,1,
95,9,,,11,17,
96,20,,,54,1,
97,102,,,110,62,
98,23,,,53,5,
99,29,,,4,0,
100,50,,,28,4,
101,22,,,0,121,
102,4,,,4,0,
103,27,,,34,2,
104,1,,,150,0,
105,3,,,23,0,
106,113,,,110,17,
107,100,,,0,46,
108,25,,,34,27,
109,71,,,18,0,
110,8,,,103,50,
111,32,,,64,88,
112,10,,,2,71,
113,102,,,10,113,
114,36,,,25,0,
115,5,,,20,38,
116,1,,,,85,
117,7,,,,62,
118,40,,,,92,
119,43,,,,1,
120,36,,,,76,
121,84,,,,29,
122,51,,,,35,
123,107,,,,14,
124,21,,,,23,
125,100,,,,29,
126,88,,,,8,
127,57,,,,2,
128,8,,,,2,
129,44,,,,43,
130,,,,,22,
131,,,,,20,
132,,,,,33,
133,,,,,68,
134,,,,,57,
135,,,,,11,
136,,,,,10,
137,,,,,28,
138,,,,,102,
139,,,,,43,
140,,,,,107,
141,,,,,7,
142,,,,,11,
143,,,,,10,
144,,,,,76,
145,,,,,107,
146,,,,,45,
147,,,,,8,
148,,,,,75,
149,,,,,13,
150,,,,,87,
151,,,,,33,
152,,,,,10,
153,,,,,0,
154,,,,,19,
155,,,,,1,
156,,,,,21,
157,,,,,41,
158,,,,,33,
159,,,,,3,
160,,,,,8,
161,,,,,62,
162,,,,,48,
163,,,,,5,
164,,,,,8,
165,,,,,20,
166,,,,,69,
167,,,,,67,
168,,,,,15,
169,,,,,0,
170,,,,,19,
171,,,,,53,
172,,,,,88,
173,,,,,14,
174,,,,,92,
175,,,,,58,
176,,,,,31,
177,,,,,65,
178,,,,,70,
179,,,,,103,
180,,,,,18,
181,,,,,0,
182,,,,,71,
183,,,,,17,
184,,,,,76,
185,,,,,57,
186,,,,,9,
187,,,,,35,
188,,,,,148,
189,,,,,21,
190,,,,,4,
191,,,,,1,